arousal val_MAE,arousal val_MAPE,arousal val_RMSE,arousal val_SMAPE,epoch,step,train_loss_epoch,train_loss_step,val_loss,valence val_MAE,valence val_MAPE,valence val_RMSE,valence val_SMAPE
,,,,0,49,,1.6036391258239746,,,,,
0.48062166571617126,24245102.0,0.5952246785163879,1.1805329322814941,0,70,,,1.5219483375549316,0.7055885195732117,17353282.0,0.9267237186431885,1.1160658597946167
,,,,0,70,1.670956015586853,,,,,,
,,,,1,99,,1.5513982772827148,,,,,
0.4563513994216919,19685944.0,0.57730633020401,1.214977741241455,1,141,,,1.4027860164642334,0.6264166235923767,15978815.0,0.8254796862602234,1.0528522729873657
,,,,1,141,1.5168392658233643,,,,,,
,,,,2,149,,1.3899345397949219,,,,,
,,,,2,199,,1.3354482650756836,,,,,
0.4070141613483429,16324629.0,0.5403806567192078,1.2000455856323242,2,212,,,1.2444484233856201,0.5305318236351013,14521698.0,0.7040677666664124,0.9856718182563782
,,,,2,212,1.4073482751846313,,,,,,
,,,,3,249,,1.2327392101287842,,,,,
0.36414286494255066,17088312.0,0.48786473274230957,1.135486364364624,3,283,,,1.0570473670959473,0.42085304856300354,12969091.0,0.5691826939582825,0.8832389712333679
,,,,3,283,1.2676124572753906,,,,,,
,,,,4,299,,1.1035816669464111,,,,,
,,,,4,349,,1.0770970582962036,,,,,
0.3187333047389984,11987724.0,0.4384949207305908,1.1525540351867676,4,354,,,0.9279285073280334,0.36200234293937683,10630285.0,0.4894335865974426,0.8306258320808411
,,,,4,354,1.1665383577346802,,,,,,
,,,,5,399,,1.1098873615264893,,,,,
0.2789064943790436,12148471.0,0.3851994574069977,1.1047236919403076,5,425,,,0.8115159273147583,0.30786576867103577,9698111.0,0.426316499710083,0.7894983291625977
,,,,5,425,1.0951753854751587,,,,,,
,,,,6,449,,1.0206207036972046,,,,,
0.2528194785118103,9909306.0,0.3553306758403778,1.102892279624939,6,496,,,0.7372186779975891,0.2812187373638153,8198332.0,0.3818880021572113,0.7773955464363098
,,,,6,496,1.0421608686447144,,,,,,
,,,,7,499,,1.0072157382965088,,,,,
,,,,7,549,,0.9725916385650635,,,,,
