arousal val_MAE,arousal val_MAPE,arousal val_RMSE,arousal val_SMAPE,epoch,step,train_loss_epoch,train_loss_step,val_loss,valence val_MAE,valence val_MAPE,valence val_RMSE,valence val_SMAPE
0.2567692995071411,10888307.0,0.35074499249458313,1.0925604104995728,7,567,,,0.725255012512207,0.2734077274799347,7162112.0,0.3745100498199463,0.7817760109901428
,,,,7,567,1.0068244934082031,,,,,,
,,,,8,599,,0.951772153377533,,,,,
0.2249390333890915,9781845.0,0.30945873260498047,1.0699762105941772,8,638,,,0.6409893035888672,0.24095603823661804,7052645.0,0.3315305709838867,0.7495512962341309
,,,,8,638,0.963898241519928,,,,,,
,,,,9,649,,0.9625858068466187,,,,,
,,,,9,699,,0.9520445466041565,,,,,
0.22597569227218628,9793737.0,0.315218985080719,1.0703095197677612,9,709,,,0.6422085165977478,0.24257858097553253,7112726.0,0.3269895315170288,0.7563837170600891
,,,,9,709,0.9538610577583313,,,,,,
,,,,10,749,,0.9513252973556519,,,,,
0.22218897938728333,8092614.5,0.312865287065506,1.0893391370773315,10,780,,,0.6427725553512573,0.23769903182983398,6679013.0,0.32990726828575134,0.7499923706054688
,,,,10,780,0.9193717241287231,,,,,,
,,,,11,799,,0.9280492067337036,,,,,
,,,,11,849,,0.8885408043861389,,,,,
0.20653486251831055,8468493.0,0.2923242747783661,1.0705515146255493,11,851,,,0.5901670455932617,0.21905936300754547,6418799.5,0.297842800617218,0.7351169586181641
,,,,11,851,0.9099406003952026,,,,,,
,,,,12,899,,0.8350489139556885,,,,,
0.1972879320383072,7347262.5,0.275738000869751,1.0734409093856812,12,922,,,0.5773573517799377,0.222218319773674,6689213.0,0.30161935091018677,0.7375898361206055
,,,,12,922,0.8892757892608643,,,,,,
,,,,13,949,,0.8643803596496582,,,,,
0.2121652215719223,8558426.0,0.29242223501205444,1.0772805213928223,13,993,,,0.6066756248474121,0.23057132959365845,7008866.0,0.3142533600330353,0.7347733974456787
,,,,13,993,0.8934768438339233,,,,,,
,,,,14,999,,0.8577218055725098,,,,,
,,,,14,1049,,0.896320641040802,,,,,
0.20131488144397736,9069674.0,0.27911972999572754,1.0539746284484863,14,1064,,,0.5726209878921509,0.21961961686611176,6686070.5,0.29350122809410095,0.7287156581878662
,,,,14,1064,0.8840169310569763,,,,,,
,,,,15,1099,,0.8049072623252869,,,,,
0.18518736958503723,7831619.0,0.26088157296180725,1.0550050735473633,15,1135,,,0.5388897657394409,0.20451053977012634,6843050.0,0.2780081629753113,0.7139828205108643
,,,,15,1135,0.862330436706543,,,,,,
,,,,16,1149,,0.8093559741973877,,,,,
,,,,16,1199,,0.8920773267745972,,,,,
0.1924998015165329,8296089.5,0.26677417755126953,1.056687831878662,16,1206,,,0.5231566429138184,0.1907101273536682,5436868.5,0.25638246536254883,0.7211969494819641
,,,,16,1206,0.8406944274902344,,,,,,
,,,,17,1249,,0.870271623134613,,,,,
0.18003202974796295,7529171.0,0.24956649541854858,1.0517613887786865,17,1277,,,0.5084587335586548,0.18955864012241364,5727044.0,0.2588922381401062,0.7126280069351196
,,,,17,1277,0.8468518853187561,,,,,,
,,,,18,1299,,0.7838114500045776,,,,,
0.19676078855991364,9067488.0,0.27817437052726746,1.0529998540878296,18,1348,,,0.5721819400787354,0.21298781037330627,6311220.0,0.2940075993537903,0.7328788638114929
,,,,18,1348,0.8326231241226196,,,,,,
,,,,19,1349,,0.8536463975906372,,,,,
,,,,19,1399,,0.8249467015266418,,,,,
0.18156497180461884,7843157.5,0.2533200681209564,1.04848051071167,19,1419,,,0.5115237236022949,0.19167591631412506,5960984.0,0.2582036554813385,0.7147950530052185
,,,,19,1419,0.8256495594978333,,,,,,
,,,,20,1449,,0.7887607216835022,,,,,
0.18151238560676575,6916807.0,0.2608257532119751,1.0596528053283691,20,1490,,,0.5114224553108215,0.18385103344917297,5334310.0,0.25059670209884644,0.7128567099571228
,,,,20,1490,0.8214280605316162,,,,,,
,,,,21,1499,,0.8107256293296814,,,,,
,,,,21,1549,,0.8182263374328613,,,,,
0.17986154556274414,7930074.0,0.24930216372013092,1.0458269119262695,21,1561,,,0.5105444192886353,0.18974444270133972,6084684.0,0.26124224066734314,0.7104990482330322
,,,,21,1561,0.8128201961517334,,,,,,
,,,,22,1599,,0.835921049118042,,,,,
0.16138030588626862,6286414.0,0.2312440574169159,1.0466481447219849,22,1632,,,0.46610119938850403,0.17570273578166962,5378833.5,0.23485714197158813,0.7010176181793213
,,,,22,1632,0.8134614825248718,,,,,,
,,,,23,1649,,0.8140507936477661,,,,,
,,,,23,1699,,0.8255667686462402,,,,,
0.1758309304714203,7467806.0,0.24435625970363617,1.0490814447402954,23,1703,,,0.4991549253463745,0.18881580233573914,5774133.5,0.25479868054389954,0.7091468572616577
,,,,23,1703,0.8123291730880737,,,,,,
,,,,24,1749,,0.9021973609924316,,,,,
0.16731522977352142,6022858.5,0.23571179807186127,1.0554940700531006,24,1774,,,0.4595656096935272,0.16229616105556488,4697557.5,0.22385381162166595,0.7003917098045349
,,,,24,1774,0.8142271637916565,,,,,,
,,,,25,1799,,0.7956262230873108,,,,,
0.1710483878850937,6496104.5,0.23575706779956818,1.055180549621582,25,1845,,,0.47335946559906006,0.17526459693908691,5459863.5,0.2376023828983307,0.700326144695282
,,,,25,1845,0.8007954359054565,,,,,,
,,,,26,1849,,0.8175235986709595,,,,,
,,,,26,1899,,0.812537431716919,,,,,
0.1678592562675476,6915792.5,0.23076468706130981,1.0468913316726685,26,1916,,,0.46877801418304443,0.17678521573543549,4994011.5,0.23801331222057343,0.7079217433929443
,,,,26,1916,0.7957082986831665,,,,,,
,,,,27,1949,,0.8368604183197021,,,,,
0.1687525510787964,7670940.5,0.2441268116235733,1.0377386808395386,27,1987,,,0.48223739862442017,0.17778225243091583,5420025.0,0.23811057209968567,0.7065260410308838
,,,,27,1987,0.8035731315612793,,,,,,
,,,,28,1999,,0.8164737224578857,,,,,
,,,,28,2049,,0.7683041095733643,,,,,
0.17174437642097473,7353977.5,0.23980900645256042,1.0437291860580444,28,2058,,,0.4842599630355835,0.18168611824512482,5897453.5,0.24445097148418427,0.7043206691741943
,,,,28,2058,0.8045989274978638,,,,,,
,,,,29,2099,,0.8535999059677124,,,,,
0.1705169975757599,7200514.5,0.23968420922756195,1.0444812774658203,29,2129,,,0.5040415525436401,0.19067782163619995,5709414.5,0.2643573582172394,0.7118411064147949
,,,,29,2129,0.7917593717575073,,,,,,
