epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,1.33492112159729,,,,,
0,59,,,0.9548506140708923,16092332.0,1.2392418384552002,1.5949612855911255,1.2392418384552002
0,59,1.4066954851150513,,,,,,
1,99,,1.4234809875488281,,,,,
1,119,,,0.9975839257240295,19774408.0,1.2557564973831177,1.5995819568634033,1.2557564973831177
1,119,1.3722612857818604,,,,,,
2,149,,1.3659049272537231,,,,,
2,179,,,0.9146392941474915,13260042.0,1.1777926683425903,1.6143479347229004,1.1777926683425903
2,179,1.3629610538482666,,,,,,
3,199,,1.2478233575820923,,,,,
3,239,,,0.9221367835998535,9480103.0,1.221215844154358,1.717706561088562,1.221215844154358
3,239,1.3482838869094849,,,,,,
4,249,,1.2881604433059692,,,,,
4,299,,1.539924144744873,,,,,
4,299,,,0.9153111577033997,9859825.0,1.2693850994110107,1.6829674243927002,1.2693850994110107
4,299,1.347535252571106,,,,,,
5,349,,1.2971774339675903,,,,,
5,359,,,0.935667872428894,16578725.0,1.2733221054077148,1.5369352102279663,1.2733221054077148
5,359,1.3488644361495972,,,,,,
6,399,,1.2954139709472656,,,,,
6,419,,,0.9030336737632751,9844945.0,1.1930314302444458,1.6796921491622925,1.1930314302444458
6,419,1.35601007938385,,,,,,
7,449,,1.464105486869812,,,,,
7,479,,,0.9067110419273376,9539096.0,1.1806236505508423,1.707440972328186,1.1806236505508423
7,479,1.3541183471679688,,,,,,
8,499,,1.3526220321655273,,,,,
8,539,,,0.8965789675712585,9505989.0,1.2218761444091797,1.674318552017212,1.2218761444091797
8,539,1.3447526693344116,,,,,,
9,549,,1.2920608520507812,,,,,
9,599,,1.5966516733169556,,,,,
9,599,,,0.8966596126556396,10361145.0,1.1983526945114136,1.6509355306625366,1.1983526945114136
9,599,1.3455448150634766,,,,,,
10,649,,1.3079018592834473,,,,,
10,659,,,0.9411982893943787,15212528.0,1.2570196390151978,1.584956169128418,1.2570196390151978
10,659,1.337921380996704,,,,,,
11,699,,1.1590931415557861,,,,,
11,719,,,0.9055154323577881,10258059.0,1.1895756721496582,1.6975460052490234,1.1895756721496582
11,719,1.338077425956726,,,,,,
12,749,,1.2205840349197388,,,,,
12,779,,,0.9136115908622742,7284849.5,1.190537691116333,1.784537434577942,1.190537691116333
12,779,1.3522381782531738,,,,,,
