epoch,state_change_arousal val_MAE,state_change_arousal val_MAPE,state_change_arousal val_RMSE,state_change_arousal val_SMAPE,state_change_valence val_MAE,state_change_valence val_MAPE,state_change_valence val_RMSE,state_change_valence val_SMAPE,step,train_loss_epoch,train_loss_step,val_loss
0,,,,,,,,,49,,2.2631118297576904,
0,0.675747811794281,4264584.0,0.9249478578567505,1.8881276845932007,1.0390996932983398,8862121.0,1.349176049232483,1.7277969121932983,61,,,2.2741239070892334
0,,,,,,,,,61,2.425705909729004,,
1,,,,,,,,,99,,2.3791966438293457,
1,0.6781407594680786,5062763.5,0.9238017201423645,1.8625550270080566,1.0583454370498657,17290314.0,1.3702858686447144,1.5502575635910034,123,,,2.2940876483917236
1,,,,,,,,,123,2.3128914833068848,,
2,,,,,,,,,149,,2.2707407474517822,
2,0.6798619031906128,7197789.0,0.9185432195663452,1.798589825630188,0.9930428862571716,13301653.0,1.2819504737854004,1.5914689302444458,185,,,2.200493812561035
2,,,,,,,,,185,2.2836506366729736,,
3,,,,,,,,,199,,1.987887978553772,
3,0.6524150371551514,6825232.5,0.8843133449554443,1.768222689628601,0.9341024160385132,13035545.0,1.211372971534729,1.5160243511199951,247,,,2.095686435699463
3,,,,,,,,,247,2.2436599731445312,,
4,,,,,,,,,249,,2.1638824939727783,
4,,,,,,,,,299,,2.1218957901000977,
4,0.6389599442481995,8360985.0,0.8580560684204102,1.699636697769165,0.9194581508636475,13144340.0,1.1895524263381958,1.503743290901184,309,,,2.0476083755493164
4,,,,,,,,,309,2.2065305709838867,,
5,,,,,,,,,349,,2.1454153060913086,
5,0.643348217010498,7535244.5,0.8589305877685547,1.7341481447219849,0.9114620685577393,12805246.0,1.170350432395935,1.5082859992980957,371,,,2.0292811393737793
5,,,,,,,,,371,2.1902191638946533,,
6,,,,,,,,,399,,2.0662193298339844,
6,0.6244690418243408,8871682.0,0.8329513072967529,1.669947862625122,0.8388856053352356,13799382.0,1.0756181478500366,1.4194116592407227,433,,,1.9085694551467896
6,,,,,,,,,433,2.1447670459747314,,
7,,,,,,,,,449,,2.085043430328369,
7,0.6334820985794067,8180487.0,0.844717800617218,1.7038167715072632,0.9083014726638794,13939947.0,1.1576907634735107,1.4977006912231445,495,,,2.002408504486084
7,,,,,,,,,495,2.140413522720337,,
8,,,,,,,,,499,,2.10284423828125,
8,,,,,,,,,549,,2.042910099029541,
8,0.5911048650741577,9910928.0,0.7850286364555359,1.6007030010223389,0.8290834426879883,12858852.0,1.0708580017089844,1.427579641342163,557,,,1.855886697769165
8,,,,,,,,,557,2.11812424659729,,
9,,,,,,,,,599,,2.0540661811828613,
9,0.5865777134895325,8862964.0,0.7844480872154236,1.6206163167953491,0.7961452007293701,13362627.0,1.0332539081573486,1.3836332559585571,619,,,1.817702054977417
9,,,,,,,,,619,2.0849757194519043,,
10,,,,,,,,,649,,2.0754342079162598,
10,0.5343008637428284,9559155.0,0.7201954126358032,1.5186126232147217,0.7372997999191284,14693908.0,0.9577021598815918,1.314561128616333,681,,,1.677897572517395
10,,,,,,,,,681,2.0622129440307617,,
11,,,,,,,,,699,,1.9812638759613037,
11,0.5725998878479004,8478090.0,0.7699028253555298,1.6039119958877563,0.7441903948783875,13199100.0,0.9794719219207764,1.3409547805786133,743,,,1.7493747472763062
11,,,,,,,,,743,2.019608736038208,,
12,,,,,,,,,749,,1.9033507108688354,
12,,,,,,,,,799,,1.9069514274597168,
12,0.5299694538116455,11372864.0,0.7064703106880188,1.484564185142517,0.6958394646644592,13559741.0,0.9084746241569519,1.2839435338974,805,,,1.6149449348449707
12,,,,,,,,,805,1.996795654296875,,
13,,,,,,,,,849,,2.0454037189483643,
13,0.5072258114814758,10975679.0,0.6772632598876953,1.4548760652542114,0.6675315499305725,11845538.0,0.8872345685958862,1.2609845399856567,867,,,1.5644978284835815
13,,,,,,,,,867,1.970398187637329,,
14,,,,,,,,,899,,2.181678056716919,
14,0.4785715341567993,9927325.0,0.6479589939117432,1.435815691947937,0.6497895121574402,12389599.0,0.8573142290115356,1.2548956871032715,929,,,1.5052732229232788
14,,,,,,,,,929,1.9318243265151978,,
15,,,,,,,,,949,,1.9603290557861328,
15,0.4699910283088684,11705671.0,0.6399262547492981,1.3936445713043213,0.6597098112106323,14241024.0,0.8539440631866455,1.2497121095657349,991,,,1.4938702583312988
15,,,,,,,,,991,1.9250460863113403,,
16,,,,,,,,,999,,1.908879041671753,
16,,,,,,,,,1049,,1.9609854221343994,
16,0.4650936424732208,10124856.0,0.640454888343811,1.4136191606521606,0.631481409072876,12547020.0,0.8396720886230469,1.2276161909103394,1053,,,1.480126976966858
16,,,,,,,,,1053,1.9191973209381104,,
17,,,,,,,,,1099,,2.03224515914917,
17,0.4556357264518738,10872501.0,0.624210774898529,1.3809454441070557,0.6079301834106445,13782801.0,0.8037062287330627,1.1874666213989258,1115,,,1.4279170036315918
17,,,,,,,,,1115,1.9114024639129639,,
18,,,,,,,,,1149,,1.8546019792556763,
18,0.43938326835632324,11435027.0,0.6019127368927002,1.3536298274993896,0.5981835722923279,13926817.0,0.7866847515106201,1.1830986738204956,1177,,,1.3885974884033203
18,,,,,,,,,1177,1.8956307172775269,,
19,,,,,,,,,1199,,1.8029522895812988,
19,0.4466489851474762,10933301.0,0.610537052154541,1.3751158714294434,0.6191189289093018,11221173.0,0.8128423094749451,1.2342361211776733,1239,,,1.4233794212341309
19,,,,,,,,,1239,1.867499589920044,,
20,,,,,,,,,1249,,1.7832061052322388,
20,,,,,,,,,1299,,1.9095981121063232,
20,0.4654980003833771,10610719.0,0.6429134011268616,1.3925654888153076,0.6503304839134216,13975570.0,0.8514466881752014,1.2501492500305176,1301,,,1.494360089302063
20,,,,,,,,,1301,1.8893829584121704,,
21,,,,,,,,,1349,,1.8600736856460571,
21,0.45469069480895996,10985406.0,0.614152729511261,1.3766777515411377,0.6117630004882812,14523857.0,0.8009296655654907,1.1859641075134277,1363,,,1.4150824546813965
21,,,,,,,,,1363,1.8820741176605225,,
22,,,,,,,,,1399,,2.01908802986145,
22,0.43370765447616577,10877388.0,0.5870622396469116,1.352573275566101,0.5778226256370544,14309791.0,0.7716463804244995,1.1541080474853516,1425,,,1.3587086200714111
22,,,,,,,,,1425,1.8490341901779175,,
23,,,,,,,,,1449,,1.9270930290222168,
23,0.4185878336429596,10661415.0,0.5625631213188171,1.3413115739822388,0.5625926852226257,13225472.0,0.7499508261680603,1.145399808883667,1487,,,1.3125139474868774
23,,,,,,,,,1487,1.832743763923645,,
24,,,,,,,,,1499,,1.8953454494476318,
24,,,,,,,,,1549,,1.5432456731796265,
24,0.4247699975967407,11530793.0,0.5845308303833008,1.3266832828521729,0.5909608006477356,13048196.0,0.7870491147041321,1.183112382888794,1549,,,1.371579885482788
24,,,,,,,,,1549,1.832248568534851,,
25,,,,,,,,,1599,,1.9073147773742676,
25,0.42202526330947876,9539151.0,0.5741375088691711,1.3566821813583374,0.5331029891967773,13373157.0,0.7070863246917725,1.1103034019470215,1611,,,1.2812237739562988
25,,,,,,,,,1611,1.8252919912338257,,
26,,,,,,,,,1649,,1.579718828201294,
26,0.4032159745693207,10387031.0,0.5682956576347351,1.3160831928253174,0.5467983484268188,12206943.0,0.7118436694145203,1.1486234664916992,1673,,,1.2801393270492554
26,,,,,,,,,1673,1.814780592918396,,
27,,,,,,,,,1699,,1.587659239768982,
27,0.3983754813671112,11654337.0,0.5487995743751526,1.2846474647521973,0.5390759706497192,14255332.0,0.7164819240570068,1.109265923500061,1735,,,1.2652814388275146
27,,,,,,,,,1735,1.7882285118103027,,
28,,,,,,,,,1749,,1.487371563911438,
28,0.40768057107925415,10527377.0,0.5628972053527832,1.325914740562439,0.5455774068832397,13962615.0,0.7138768434524536,1.1266858577728271,1797,,,1.2767740488052368
