epoch,state_change_arousal val_MAE,state_change_arousal val_MAPE,state_change_arousal val_RMSE,state_change_arousal val_SMAPE,state_change_valence val_MAE,state_change_valence val_MAPE,state_change_valence val_RMSE,state_change_valence val_SMAPE,step,train_loss_epoch,train_loss_step,val_loss
0,,,,,,,,,49,,2.3657727241516113,
0,0.6233177781105042,6622284.5,0.8730841875076294,1.8916208744049072,1.063537359237671,13752048.0,1.4132251739501953,1.6916773319244385,65,,,2.286309242248535
0,,,,,,,,,65,2.363192558288574,,
1,,,,,,,,,99,,2.200399875640869,
1,0.6004555225372314,6628509.5,0.8419938087463379,1.8502657413482666,0.9905628561973572,17139820.0,1.300679087638855,1.545688509941101,131,,,2.1426730155944824
1,,,,,,,,,131,2.258643627166748,,
2,,,,,,,,,149,,2.2333528995513916,
2,0.5696620941162109,9308770.0,0.78703773021698,1.7208151817321777,0.8031638264656067,17889300.0,1.0610942840576172,1.3881806135177612,197,,,1.8481320142745972
2,,,,,,,,,197,2.1191046237945557,,
3,,,,,,,,,199,,2.043870449066162,
3,,,,,,,,,249,,1.941371202468872,
3,0.5338412523269653,11125069.0,0.7383667230606079,1.6347029209136963,0.6178765892982483,15329719.0,0.8349727392196655,1.2556205987930298,263,,,1.5733394622802734
3,,,,,,,,,263,1.9297466278076172,,
4,,,,,,,,,299,,1.7543208599090576,
4,0.4963843822479248,11356871.0,0.6787223219871521,1.5768615007400513,0.5763741731643677,13521930.0,0.7746418714523315,1.2413753271102905,329,,,1.4533641338348389
4,,,,,,,,,329,1.775812029838562,,
5,,,,,,,,,349,,1.7225912809371948,
5,0.4210871458053589,11354531.0,0.5827085375785828,1.4555445909500122,0.4951799809932709,14959054.0,0.6626995205879211,1.124084711074829,395,,,1.245408058166504
5,,,,,,,,,395,1.6572785377502441,,
6,,,,,,,,,399,,1.632908582687378,
6,,,,,,,,,449,,1.598963975906372,
6,0.3884810507297516,11348318.0,0.5379107594490051,1.4131203889846802,0.43412506580352783,11296804.0,0.6026194095611572,1.121485948562622,461,,,1.1405301094055176
6,,,,,,,,,461,1.5550377368927002,,
7,,,,,,,,,499,,1.3907825946807861,
7,0.3696669936180115,12878596.0,0.5007609128952026,1.370864748954773,0.4113866984844208,11609396.0,0.5613284707069397,1.094967007637024,527,,,1.062089443206787
7,,,,,,,,,527,1.4859057664871216,,
8,,,,,,,,,549,,1.4454669952392578,
8,0.3616759181022644,14303126.0,0.4868955910205841,1.3390438556671143,0.39325881004333496,12825506.0,0.5332908034324646,1.0625778436660767,593,,,1.020186424255371
8,,,,,,,,,593,1.4351975917816162,,
9,,,,,,,,,599,,1.3319799900054932,
9,,,,,,,,,649,,1.2856717109680176,
9,0.34046855568885803,11995629.0,0.4686683714389801,1.3370188474655151,0.36706528067588806,11377107.0,0.4935457408428192,1.0578627586364746,659,,,0.9622141122817993
9,,,,,,,,,659,1.3982453346252441,,
10,,,,,,,,,699,,1.3527752161026,
10,0.33000344038009644,11613138.0,0.45581725239753723,1.3284178972244263,0.36425602436065674,11160249.0,0.49202293157577515,1.0468323230743408,725,,,0.9478402137756348
10,,,,,,,,,725,1.3808447122573853,,
11,,,,,,,,,749,,1.4005380868911743,
11,0.30847957730293274,12227055.0,0.41718345880508423,1.2837717533111572,0.33103612065315247,10185326.0,0.457232266664505,1.0287750959396362,791,,,0.8744157552719116
11,,,,,,,,,791,1.3480892181396484,,
12,,,,,,,,,799,,1.3200713396072388,
12,,,,,,,,,849,,1.2894325256347656,
12,0.2975098788738251,12254762.0,0.4030761122703552,1.2688730955123901,0.35133370757102966,11874705.0,0.4693099558353424,1.020444393157959,857,,,0.87238609790802
12,,,,,,,,,857,1.3306018114089966,,
13,,,,,,,,,899,,1.3721954822540283,
13,0.2731398344039917,12311446.0,0.3812530040740967,1.2302100658416748,0.3220210671424866,9779742.0,0.44380199909210205,1.0103135108947754,923,,,0.8250550031661987
13,,,,,,,,,923,1.3083412647247314,,
14,,,,,,,,,949,,1.2709543704986572,
